"ID","MonthlyIncome"
871,5957.19334261969
872,2206.91907598294
873,14302.779545501
874,2307.50409589867
875,1882.53129954289
876,7090.76196775197
877,5646.85997442336
878,2068.41422209863
879,2038.5839356121
880,14965.145483387
881,11156.5215232473
882,2508.28772362015
883,6116.23327792662
884,6078.16047998256
885,6572.24245192621
886,6027.85978450675
887,5840.56131990286
888,6226.57033351182
889,6102.85277738706
890,2223.25357437822
891,5966.38144564987
892,9560.32358496581
893,9669.91100186445
894,6053.60764854876
895,11044.3661424681
896,9964.13325413655
897,10155.70747344
898,14111.3287992673
899,5942.57006738468
900,2398.45867306906
901,2388.88415792891
902,6588.91562034423
903,6431.09527419937
904,2727.79629308817
905,14852.1255545043
906,5946.42379487133
907,10703.3105100968
908,6120.41217743123
909,2079.25131531145
910,2193.48796032502
911,18281.7046226943
912,2463.00441718785
913,2504.87976818999
914,9974.47871335115
915,6250.22874780153
916,5783.39066610706
917,2324.55549090873
918,5929.53354935469
919,2139.5129380374
920,2978.71946679204
921,2193.92841989468
922,2081.8965121851
923,6253.814223761
924,6363.40982617759
925,15116.7427829065
926,2246.19509205316
927,5960.22307145782
928,10125.249141191
929,1959.91186274334
930,2294.55930175214
931,6320.15660955108
932,9821.88996031728
933,9862.607955135
934,2323.73680474703
935,2204.21983164961
936,2254.13411501544
937,10579.6146374948
938,10529.1609780435
939,6296.94684034898
940,2219.79157148839
941,3032.2110405994
942,9865.03607491004
943,10547.1555251705
944,6033.85700920537
945,1975.64475207554
946,6119.64123335677
947,2100.05752129235
948,1953.25366903513
949,2402.05233454648
950,5799.57220052686
951,2572.51116875209
952,5714.22025042717
953,6322.09022229679
954,2361.31796869288
955,6176.71009760566
956,10035.7877171967
957,11860.8086740771
958,1940.7575199762
959,10569.5648593923
960,19239.9364905481
961,2073.36406567769
962,5722.13758986673
963,6462.52337643999
964,6294.40055999112
965,2088.99516546297
966,18412.7244111907
967,1814.97219762187
968,10238.5671906415
969,15427.1436965673
970,2112.33128076584
971,5790.74407290732
972,6039.74713187025
973,2326.75834806721
974,2193.48796032502
975,5839.68040076355
976,2073.10112663735
977,6945.54299255426
978,2011.41577634531
979,9772.90245803249
980,18540.5668193604
981,2089.33858866234
982,10391.982815355
983,2417.60770334937
984,2451.56571491195
985,6238.40363341565
986,2437.52767770412
987,2143.19545036716
988,6042.88396274212
989,10196.1948931543
990,2113.81093593711
991,6459.86999404838
992,2129.98428483897
993,6179.23182140968
994,6164.60567314355
995,5937.62022380562
996,6270.45752313835
